Jahr,Stadtteil,0 - 6 Jahre,7 - 17 Jahre,18 - 44 Jahre,45 - 64 Jahre,ab 65 Jahre,gesamt
2022,Kannenstieg,424,644,1563,1311,2135,6077
2022,Neustädter Feld,478,923,2887,2423,2968,9679
2022,Sülzegrund,.,0,.,5,.,10
2022,Großer Silberberg,0,0,0,0,0,0
2022,Nordwest,210,474,862,1560,1393,4499
2022,Alt Olvenstedt,217,403,878,1457,943,3898
2022,Neu Olvenstedt,781,1356,3856,2933,2856,11782
2022,Stadtfeld Ost,1718,2329,11166,5550,4544,25307
2022,Stadtfeld West,745,1257,4166,4055,4374,14597
2022,Diesdorf,310,471,1002,1267,850,3900
2022,Sudenburg,1254,1715,7570,4176,3674,18389
2022,Ottersleben,584,1168,2613,3523,2567,10455
2022,Lemsdorf,118,204,661,668,540,2191
2022,Leipziger Straße,1235,1485,6576,3125,3566,15987
2022,Reform,601,1067,2669,3108,4411,11856
2022,Hopfengarten,207,477,1013,1591,1158,4446
2022,Beyendorfer Grund,0,.,.,7,0,13
2022,Buckau,469,526,3011,1508,968,6482
2022,Fermersleben,250,339,1417,943,662,3611
2022,Salbke,298,431,1376,1294,1134,4533
2022,Westerhüsen,229,361,963,1016,805,3374
2022,Brückfeld,207,315,1337,813,779,3451
2022,Berliner Chaussee,130,250,591,856,557,2384
2022,Cracau,405,700,2679,2254,2024,8062
2022,Prester,82,248,434,812,491,2067
2022,Zipkeleben,57,40,118,41,23,279
2022,Kreuzhorst,0,0,0,0,0,0
2022,Herrenkrug,70,109,611,292,260,1342
2022,Rothensee,215,314,1039,773,632,2973
2022,Industriehafen,5,8,154,19,6,192
2022,Gewerbegebiet Nord,.,0,9,4,.,19
2022,Barleber See,9,7,22,20,24,82
2022,Pechau,19,62,100,220,120,521
2022,Randau-Calenberge,35,66,129,195,128,553
2022,Beyendorf-Sohlen,96,121,339,388,312,1256
2022,Magdeburg,14752,22481,85663,60262,59595,242753
2021,Altstadt,773,836,7203,2949,4692,16453
2021,Werder,194,178,998,703,1014,3087
2021,Alte Neustadt,634,705,6355,1989,2059,11742
2021,Neue Neustadt,1089,1499,5986,3738,3144,15456
2021,Neustädter See,582,1072,3001,2573,3795,11023
2021,Kannenstieg,421,606,1506,1321,2144,5998
2021,Neustädter Feld,461,869,2833,2395,2920,9478
2021,Sülzegrund,.,0,.,5,.,10
2021,Großer Silberberg,0,0,0,0,0,0
