Jahr,Stadtteil,0 - 6 Jahre,7 - 17 Jahre,18 - 44 Jahre,45 - 64 Jahre,ab 65 Jahre,gesamt
2022,Alt Olvenstedt,7,.,38,32,.,84
2022,Neu Olvenstedt,163,225,815,264,74,1541
2022,Stadtfeld Ost,148,282,1274,328,97,2129
2022,Stadtfeld West,40,84,288,122,31,565
2022,Diesdorf,.,.,34,14,0,57
2022,Sudenburg,321,403,1726,527,122,3099
2022,Ottersleben,4,17,124,48,15,208
2022,Lemsdorf,10,17,67,30,7,131
2022,Leipziger Straße,495,550,2194,485,91,3815
2022,Reform,164,227,583,170,26,1170
2022,Hopfengarten,7,10,58,26,8,109
2022,Beyendorfer Grund,0,0,.,0,0,.
2022,Buckau,46,49,365,131,52,643
2022,Fermersleben,82,68,300,81,22,553
2022,Salbke,61,89,282,95,21,548
2022,Westerhüsen,21,23,114,41,12,211
2022,Brückfeld,26,43,183,50,6,308
2022,Berliner Chaussee,0,.,12,12,.,29
2022,Cracau,48,71,261,73,27,480
2022,Prester,0,0,7,.,.,13
2022,Zipkeleben,0,0,.,.,0,8
2022,Kreuzhorst,0,0,0,0,0,0
2022,Herrenkrug,13,23,274,24,5,339
2022,Rothensee,18,21,126,44,.,212
2022,Industriehafen,0,0,136,9,0,145
2022,Gewerbegebiet Nord,0,0,0,.,0,.
2022,Barleber See,0,0,.,0,0,.
2022,Pechau,0,0,.,.,0,.
2022,Randau-Calenberge,0,0,.,.,0,.
2022,Beyendorf-Sohlen,.,0,7,.,.,13
2022,Magdeburg,3227,4117,18730,4563,1142,31779
2021,Altstadt,201,258,2083,458,142,3142
2021,Werder,10,9,82,22,7,130
2021,Alte Neustadt,128,173,2427,153,24,2905
2021,Neue Neustadt,488,445,1928,452,63,3376
2021,Neustädter See,226,286,936,221,49,1718
2021,Kannenstieg,209,227,525,144,23,1128
2021,Neustädter Feld,78,83,479,129,28,797
2021,Sülzegrund,0,0,0,0,0,0
2021,Großer Silberberg,0,0,0,0,0,0
2021,Nordwest,0,.,42,15,.,64
2021,Alt Olvenstedt,.,.,27,22,.,56
2021,Neu Olvenstedt,125,146,672,196,37,1176
2021,Stadtfeld Ost,104,169,1004,274,66,1617
2021,Stadtfeld West,29,40,204,94,12,379
2021,Diesdorf,.,.,42,10,0,56
2021,Sudenburg,282,308,1432,414,79,2515
2021,Ottersleben,6,4,94,35,9,148
2021,Lemsdorf,8,8,51,22,5,94
2021,Leipziger Straße,425,442,1812,374,63,3116
2021,Reform,138,131,444,105,12,830
2021,Hopfengarten,4,4,34,17,4,63
2021,Beyendorfer Grund,0,0,7,0,0,7
2021,Buckau,28,42,337,88,36,531
2021,Fermersleben,79,59,271,62,20,491
2021,Salbke,59,82,278,110,11,540
2021,Westerhüsen,9,14,91,29,5,148
2021,Brückfeld,19,33,157,34,.,244
2021,Berliner Chaussee,0,.,8,11,.,22
2021,Cracau,30,35,191,55,12,323
2021,Prester,0,0,6,.,.,10
2021,Zipkeleben,0,0,.,0,0,.
2021,Kreuzhorst,0,0,0,0,0,0
2021,Herrenkrug,12,26,245,36,0,319
2021,Rothensee,15,21,115,39,6,196
2021,Industriehafen,0,0,118,10,0,128
2021,Gewerbegebiet Nord,0,0,0,.,0,.
2021,Barleber See,0,0,0,0,0,0
2021,Pechau,0,0,.,.,0,.
2021,Randau-Calenberge,0,0,.,.,0,4
2021,Beyendorf-Sohlen,0,0,7,.,.,10
2021,Magdeburg,2718,3054,16157,3639,722,26290
