Jahr,Stadtteil,Fläche,Wohnberechtigte Bevölkerung (Anzahl),Wohnberechtigte Bevölkerung (EW-Dichte),Bevölkerung am Ort der Hauptwohnung (Anzahl),Bevölkerung am Ort der Hauptwohnung (EW-Dichte)
2024,Rothensee,212.23,3181,14.9884559204636,3163,14.9036422748904
2024,Industriehafen,363.46,311,0.855664997523799,311,0.855664997523799
2024,Gewerbegebiet Nord,938.77,14,0.0149131310118559,14,0.0149131310118559
2024,Barleber See,541.47,80,0.147745950837535,80,0.147745950837535
2024,Pechau,761.1,535,0.702929969780581,527,0.692418867428722
2024,Randau-Calenberge,1371.76,554,0.403860733656033,546,0.398028809704321
2024,Beyendorf-Sohlen,814.35,1278,1.56934978817462,1272,1.56198194879352
2024,Magdeburg,20184.41,248820,12.3273358002538,245521,12.1638928261961
2023,Altstadt,376.9,17010,45.1313345715044,16619,44.0939241178031
2023,Werder,358.96,3069,8.54969913082238,2981,8.30454646757299
2023,Alte Neustadt,256.57,12139,47.3126242351015,11855,46.2057138402775
2023,Neue Neustadt,453.82,16087,35.447974968049,15940,35.1240579965625
2023,Neustädter See,479.09,11441,23.8806904756935,11350,23.6907470412657
2023,Kannenstieg,114.24,6137,53.7202380952381,6100,53.3963585434174
2023,Neustädter Feld,202.87,9709,47.8582343372603,9631,47.4737516636269
2023,Sülzegrund,337.49,7,0.0207413552994163,7,0.0207413552994163
2023,Großer Silberberg,386.67,0,0,0,0
2023,Nordwest,272.9,4557,16.6984243312569,4521,16.5665078783437
2023,Alt Olvenstedt,320.08,3885,12.1375906023494,3842,12.0032491877031
2023,Neu Olvenstedt,336.69,12037,35.7509875553179,11960,35.5222905343194
2023,Stadtfeld Ost,327.55,25649,78.3056021981377,25222,77.001984429858
2023,Stadtfeld West,467.08,14597,31.2516057206474,14478,30.9968313779224
2023,Diesdorf,1012.81,4000,3.94940808246364,3965,3.91485076174208
2023,Sudenburg,529.1,18545,35.0500850500851,18330,34.6437346437346
2023,Ottersleben,1652.92,10421,6.3046003436343,10310,6.23744645838879
2023,Lemsdorf,132.57,2223,16.7684996605567,2195,16.5572904880441
2023,Leipziger Straße,337.8,16318,48.3066903493191,16098,47.6554174067496
2023,Reform,319.13,11957,37.4674897377244,11860,37.1635383699433
2023,Hopfengarten,278.94,4521,16.2077866207787,4461,15.9926865992687
2023,Beyendorfer Grund,604.4,11,0.0181998676373263,11,0.0181998676373263
2023,Buckau,218.03,6852,31.4268678622208,6752,30.9682153832041
2023,Fermersleben,337.99,3616,10.6985413769638,3586,10.6097813544779
2023,Salbke,774.27,4660,6.01857233264882,4628,5.97724308057913
2023,Westerhüsen,723.26,3369,4.65807593396566,3346,4.62627547493294
2023,Brückfeld,146.49,3459,23.6125332787221,3391,23.1483377704963
2023,Berliner Chaussee,501.98,2484,4.94840431889717,2465,4.91055420534683
2023,Cracau,262.63,8246,31.397783954613,7946,30.2554925179911
2023,Prester,515.86,2044,3.96231535687977,2021,3.91772961656263
2023,Zipkeleben,464.74,290,0.624004819899299,290,0.624004819899299
2023,Kreuzhorst,472.41,0,0,0,0
2023,Herrenkrug,1205.03,1491,1.23731359385244,1440,1.19499099607479
2023,Rothensee,212.23,3083,14.5266927390096,3066,14.4465909626349
2023,Industriehafen,363.46,306,0.841908325537886,306,0.841908325537886
2023,Gewerbegebiet Nord,938.77,20,0.0213044728740799,20,0.0213044728740799
2023,Barleber See,541.47,82,0.151439599608473,82,0.151439599608473
2023,Pechau,761.1,540,0.709499408750493,532,0.698988306398634
2023,Randau-Calenberge,1371.76,565,0.411879629089637,556,0.405318714643961
2023,Beyendorf-Sohlen,814.35,1265,1.55338613618223,1256,1.54233437711058
2023,Magdeburg,20184.41,246692,12.2219078982244,243419,12.0597530470299
2022,Altstadt,376.9,17100,45.3701247015123,16688,44.2769965508092
2022,Werder,358.96,3105,8.64998885669713,3024,8.42433697347894
2022,Alte Neustadt,256.57,12115,47.2190825115953,11818,46.0615036832054
2022,Neue Neustadt,453.82,15926,35.0932087611829,15760,34.7274249702525
2022,Neustädter See,479.09,11290,23.5655096119727,11196,23.3693043060803
2022,Kannenstieg,114.24,6108,53.4663865546218,6077,53.1950280112045
2022,Neustädter Feld,202.87,9757,48.0948390594962,9679,47.7103563858629
2022,Sülzegrund,337.49,10,0.0296305075705947,10,0.0296305075705947
2022,Großer Silberberg,386.67,0,0,0,0
2022,Nordwest,272.9,4536,16.6214730670575,4499,16.4858922682301
2022,Alt Olvenstedt,320.08,3944,12.32191952012,3898,12.1782054486378
2022,Neu Olvenstedt,336.69,11857,35.2163711425941,11782,34.9936143039591
2022,Stadtfeld Ost,327.55,25766,78.6627995725843,25307,77.261486795909
2022,Stadtfeld West,467.08,14729,31.5342125545945,14597,31.2516057206474
2022,Diesdorf,1012.81,3932,3.88226814506176,3900,3.85067288040205
2022,Sudenburg,529.1,18633,35.2164052164052,18389,34.7552447552448
2022,Ottersleben,1652.92,10570,6.39474384725214,10455,6.32517000217796
2022,Lemsdorf,132.57,2222,16.7609564758241,2191,16.5271177491137
2022,Leipziger Straße,337.8,16214,47.9988158673771,15987,47.3268206039076
2022,Reform,319.13,11956,37.464356218469,11856,37.1510042929214
2022,Hopfengarten,278.94,4510,16.1683516168352,4446,15.9389115938912
2022,Beyendorfer Grund,604.4,13,0.0215089344804765,13,0.0215089344804765
2022,Buckau,218.03,6588,30.2160253176168,6482,29.7298536898592
2022,Fermersleben,337.99,3646,10.7873013994497,3611,10.6837480398828
2022,Salbke,774.27,4563,5.89329303731257,4533,5.85454686349723
2022,Westerhüsen,723.26,3397,4.69678953626635,3374,4.66498907723364
2022,Brückfeld,146.49,3514,23.9879855280224,3451,23.5579220424602
2022,Berliner Chaussee,501.98,2404,4.78903541973784,2384,4.74919319494801
2022,Cracau,262.63,8399,31.9803525872901,8062,30.6971785401515
2022,Prester,515.86,2093,4.05730236885977,2067,4.00690109719691
2022,Zipkeleben,464.74,279,0.600335671558291,279,0.600335671558291
2022,Kreuzhorst,472.41,0,0,0,0
2022,Herrenkrug,1205.03,1400,1.16179680173938,1342,1.11366521995303
2022,Rothensee,212.23,2995,14.1120482495406,2973,14.0083871271734
2022,Industriehafen,363.46,192,0.528256204259066,192,0.528256204259066
2022,Gewerbegebiet Nord,938.77,19,0.0202392492303759,19,0.0202392492303759
2022,Barleber See,541.47,82,0.151439599608473,82,0.151439599608473
2022,Pechau,761.1,528,0.693732755222704,521,0.684535540664827
2022,Randau-Calenberge,1371.76,564,0.411150638595673,553,0.403131743162069
2022,Beyendorf-Sohlen,814.35,1265,1.55338613618223,1256,1.54233437711058
2022,Magdeburg,20184.41,246221,12.1985730571268,242753,12.0267572844587
2021,Altstadt,376.9,16903,44.8474396391616,16453,43.6534889891218
2021,Werder,358.96,3173,8.83942500557165,3087,8.59984399375975
2021,Alte Neustadt,256.57,12067,47.0319990645828,11742,45.7652882254356
2021,Neue Neustadt,453.82,15624,34.4277466837072,15456,34.0575558591512
2021,Neustädter See,479.09,11124,23.2190193909286,11023,23.0082030516187
2021,Kannenstieg,114.24,6028,52.766106442577,5998,52.5035014005602
2021,Neustädter Feld,202.87,9555,47.0991275200868,9478,46.7195741115
2021,Sülzegrund,337.49,10,0.0296305075705947,10,0.0296305075705947
2021,Großer Silberberg,386.67,0,0,0,0
2021,Nordwest,272.9,4638,16.9952363503115,4597,16.844998167827
2021,Alt Olvenstedt,320.08,3949,12.3375406148463,3904,12.1969507623094
2021,Neu Olvenstedt,336.69,11553,34.3134634233271,11471,34.0699159464196
2021,Stadtfeld Ost,327.55,25659,78.3361318882613,25206,76.9531369256602
2021,Stadtfeld West,467.08,14662,31.3907681767577,14522,31.0910336559048
2021,Diesdorf,1012.81,3942,3.89214166526792,3911,3.86153375262883
2021,Sudenburg,529.1,18338,34.6588546588547,18076,34.1636741636742
2021,Ottersleben,1652.92,10476,6.33787479127846,10355,6.26467100646129
2021,Lemsdorf,132.57,2206,16.6402655201026,2180,16.4441427170551
2021,Leipziger Straße,337.8,15792,46.7495559502664,15555,46.0479573712256
2021,Reform,319.13,11826,37.0569987152571,11725,36.740513270454
2021,Hopfengarten,278.94,4517,16.1934466193447,4445,15.9353265935327
2021,Beyendorfer Grund,604.4,20,0.0330906684315023,20,0.0330906684315023
2021,Buckau,218.03,6369,29.2115763885704,6264,28.7299912856029
2021,Fermersleben,337.99,3598,10.6452853634723,3569,10.5594840084026
2021,Salbke,774.27,4581,5.91654074160177,4548,5.8739199504049
2021,Westerhüsen,723.26,3348,4.62904073224014,3323,4.59447501590023
2021,Brückfeld,146.49,3481,23.7627141784422,3413,23.2985186702164
2021,Berliner Chaussee,501.98,2357,4.69540619148173,2336,4.65357185545241
2021,Cracau,262.63,8411,32.026044244755,8089,30.7999847694475
2021,Prester,515.86,2067,4.00690109719691,2039,3.95262280463692
2021,Zipkeleben,464.74,269,0.578818263975556,269,0.578818263975556
2021,Kreuzhorst,472.41,0,0,0,0
2021,Herrenkrug,1205.03,1402,1.16345651145615,1351,1.1211339136785
2021,Rothensee,212.23,2978,14.0319464731659,2954,13.9188616124016
2021,Industriehafen,363.46,170,0.467726847521048,170,0.467726847521048
2021,Gewerbegebiet Nord,938.77,17,0.0181088019429679,17,0.0181088019429679
2021,Barleber See,541.47,78,0.144052302066596,78,0.144052302066596
2021,Pechau,761.1,527,0.692418867428722,517,0.679279989488898
2021,Randau-Calenberge,1371.76,571,0.41625357205342,557,0.406047705137925
2021,Beyendorf-Sohlen,814.35,1273,1.5632099220237,1262,1.54970221649168
2021,Magdeburg,20184.41,243559,12.066689093216,239970,11.8888785949156
