Jahr,Stadtteil,Haushalte,durchschnittliche Haushaltsgröße,Haushaltsgröße (1 Person),Haushaltsgröße (2 Personen),Haushaltsgröße (3 Personen),Haushaltsgröße (4 und mehr)
2023,Großer Silberberg,0,0,0,0,0,0
2023,Nordwest,2259,2.01726427622842,778,944,315,222
2023,Alt Olvenstedt,1785,2.17647058823529,490,768,311,216
2023,Neu Olvenstedt,6745,1.74914751667902,3735,1800,621,589
2023,Stadtfeld Ost,15393,1.63405444033002,9178,3914,1325,976
2023,Stadtfeld West,8424,1.71058879392213,4407,2741,739,537
2023,Diesdorf,1756,2.27790432801822,497,654,290,315
2023,Sudenburg,10921,1.66422488783078,6502,2769,910,740
2023,Ottersleben,4934,2.09667612484799,1587,1972,805,570
2023,Lemsdorf,1307,1.7008416220352,739,336,145,87
2023,Leipziger Straße,9738,1.65937564181557,5832,2503,707,696
2023,Reform,6732,1.75579322638146,3347,2333,610,442
2023,Hopfengarten,2311,1.93639117265253,947,826,310,228
2023,Beyendorfer Grund,7,1.57142857142857,.,.,0,0
2023,Buckau,4135,1.62079806529625,2488,1042,366,239
2023,Fermersleben,2276,1.58875219683656,1440,549,159,128
2023,Salbke,2372,1.82715008431703,1107,817,262,186
2023,Westerhüsen,1693,1.98641464855286,704,571,216,202
2023,Brückfeld,2063,1.67329132331556,1176,567,188,132
2023,Berliner Chaussee,1143,2.17322834645669,341,439,216,147
2023,Cracau,4757,1.63968887954593,2710,1368,423,256
2023,Prester,931,2.19548872180451,253,394,151,133
2023,Zipkeleben,108,2.68518518518519,24,27,23,34
2023,Kreuzhorst,0,0,0,0,0,0
2023,Herrenkrug,747,1.58500669344043,462,187,57,41
2023,Rothensee,1611,1.9137181874612,723,506,220,162
2023,Industriehafen,23,2.17391304347826,12,4,.,.
2023,Gewerbegebiet Nord,9,2.22222222222222,.,4,.,.
2023,Barleber See,35,2.34285714285714,9,15,5,6
2023,Pechau,246,2.19512195121951,68,102,43,33
2023,Randau-Calenberge,257,2.19844357976654,77,96,47,37
2023,Beyendorf-Sohlen,610,2.07377049180328,209,240,83,78
2023,Magdeburg,140895,1.71800986550268,77101,40894,12740,10160
2022,Altstadt,11124,1.5091693635383,7263,2766,612,483
2022,Werder,1815,1.65840220385675,998,576,140,101
2022,Alte Neustadt,7692,1.57501300052002,4596,2269,501,326
2022,Neue Neustadt,9058,1.7089865312431,5304,2298,763,693
2022,Neustädter See,6473,1.71605128997374,3711,1750,498,514
2022,Kannenstieg,3326,1.79314491882141,1720,1051,268,287
2022,Neustädter Feld,5555,1.71917191719172,2942,1747,513,353
2022,Sülzegrund,5,2,0,5,0,0
2022,Großer Silberberg,0,0,0,0,0,0
2022,Nordwest,2248,2.01779359430605,765,954,312,217
2022,Alt Olvenstedt,1797,2.19476905954368,483,761,332,221
2022,Neu Olvenstedt,6625,1.75637735849057,3668,1756,613,588
2022,Stadtfeld Ost,15471,1.64585353241549,9131,3983,1355,1002
2022,Stadtfeld West,8426,1.72489912176596,4331,2795,749,551
2022,Diesdorf,1745,2.25329512893983,506,660,276,303
2022,Sudenburg,10890,1.67502295684114,6375,2863,907,745
2022,Ottersleben,4965,2.11198388721047,1568,1988,834,575
2022,Lemsdorf,1310,1.69618320610687,731,358,132,89
2022,Leipziger Straße,9604,1.67305289462724,5664,2526,711,703
2022,Reform,6683,1.76821786622774,3255,2355,639,434
2022,Hopfengarten,2289,1.95019659239843,918,828,315,228
2022,Beyendorfer Grund,9,1.44444444444444,5,4,0,0
2022,Buckau,3926,1.63703515028018,2325,1008,359,234
2022,Fermersleben,2249,1.62116496220542,1392,552,164,141
2022,Salbke,2362,1.84928027095682,1063,846,268,185
2022,Westerhüsen,1704,1.9906103286385,703,582,213,206
2022,Brückfeld,2081,1.68476693897165,1172,586,180,143
2022,Berliner Chaussee,1104,2.17753623188406,323,432,211,138
2022,Cracau,4762,1.66253674926501,2670,1371,451,270
2022,Prester,944,2.21716101694915,252,391,167,134
2022,Zipkeleben,107,2.60747663551402,28,26,20,33
2022,Kreuzhorst,0,0,0,0,0,0
2022,Herrenkrug,728,1.61675824175824,434,197,51,46
2022,Rothensee,1558,1.92233632862644,708,470,215,165
2022,Industriehafen,21,2.23809523809524,.,4,.,4
2022,Gewerbegebiet Nord,9,2.11111111111111,.,4,.,0
2022,Barleber See,35,2.34285714285714,9,14,6,6
2022,Pechau,245,2.15510204081633,69,106,39,31
2022,Randau-Calenberge,257,2.19455252918288,76,98,45,38
2022,Beyendorf-Sohlen,612,2.06699346405229,212,242,78,80
2022,Magdeburg,139814,1.73151472670834,75383,41222,12942,10267
2021,Altstadt,11003,1.50749795510315,7109,2869,583,442
2021,Werder,1866,1.64523043944266,1038,583,146,99
2021,Alte Neustadt,7654,1.57643062451006,4564,2280,478,332
2021,Neue Neustadt,9023,1.68934944031918,5348,2268,744,663
2021,Neustädter See,6364,1.7171590194846,3630,1738,492,504
2021,Kannenstieg,3280,1.79268292682927,1682,1055,266,277
2021,Neustädter Feld,5480,1.70729927007299,2926,1717,496,341
2021,Sülzegrund,5,2,0,5,0,0
2021,Großer Silberberg,0,0,0,0,0,0
2021,Nordwest,2293,2.02267771478413,786,960,311,236
2021,Alt Olvenstedt,1797,2.19755147468002,477,766,335,219
2021,Neu Olvenstedt,6503,1.74181147162848,3623,1717,611,552
2021,Stadtfeld Ost,15307,1.64976807996342,8990,3956,1380,981
2021,Stadtfeld West,8359,1.7302308888623,4265,2781,763,550
2021,Diesdorf,1771,2.22586109542631,534,659,285,293
2021,Sudenburg,10714,1.67201792047788,6257,2845,884,728
2021,Ottersleben,4905,2.1190621814475,1527,1953,863,562
2021,Lemsdorf,1313,1.68012185833968,740,352,140,81
2021,Leipziger Straße,9447,1.65470519741717,5637,2486,664,660
2021,Reform,6599,1.7717836035763,3172,2363,629,435
2021,Hopfengarten,2297,1.94514584240313,925,832,318,222
2021,Beyendorfer Grund,13,1.53846153846154,6,7,0,0
2021,Buckau,3810,1.63727034120735,2277,955,345,233
2021,Fermersleben,2209,1.62879130828429,1365,543,162,139
2021,Salbke,2397,1.85440133500209,1085,841,285,186
2021,Westerhüsen,1662,1.99819494584838,672,574,231,185
2021,Brückfeld,2071,1.67648478995654,1172,586,174,139
2021,Berliner Chaussee,1075,2.19255813953488,307,422,211,135
2021,Cracau,4765,1.66211962224554,2677,1359,458,271
2021,Prester,934,2.21306209850107,247,398,152,137
2021,Zipkeleben,102,2.63725490196078,24,24,25,29
2021,Kreuzhorst,0,0,0,0,0,0
2021,Herrenkrug,727,1.62173314993122,434,194,52,47
2021,Rothensee,1549,1.91542930923176,689,495,211,154
2021,Industriehafen,22,1.90909090909091,.,.,.,.
2021,Gewerbegebiet Nord,8,2.125,.,.,.,.
2021,Barleber See,31,2.51612903225806,5,14,6,6
2021,Pechau,244,2.15983606557377,69,105,36,34
2021,Randau-Calenberge,261,2.18773946360153,75,102,49,35
2021,Beyendorf-Sohlen,618,2.05987055016181,212,243,93,70
2021,Magdeburg,138478,1.72864281690955,74560,41056,12882,9980
