Jahr,Stadtteil,Wohnberechtigte Bevölkerung (männlich),Wohnberechtigte Bevölkerung (weiblich),Wohnberechtigte Bevölkerung (gesamt),Bevölkerung am Ort der Hauptwohnung (männlich),Bevölkerung am Ort der Hauptwohnung (weiblich),Bevölkerung am Ort der Hauptwohnung (gesamt)
2023,Diesdorf,1995,2005,4000,1978,1987,3965
2023,Sudenburg,9329,9216,18545,9204,9126,18330
2023,Ottersleben,5083,5338,10421,5024,5286,10310
2023,Lemsdorf,1105,1118,2223,1092,1103,2195
2023,Leipziger Straße,7986,8332,16318,7869,8229,16098
2023,Reform,5577,6380,11957,5531,6329,11860
2023,Hopfengarten,2285,2236,4521,2257,2204,4461
2023,Beyendorfer Grund,8,3,11,8,3,11
2023,Buckau,3438,3414,6852,3377,3375,6752
2023,Fermersleben,1893,1723,3616,1874,1712,3586
2023,Salbke,2498,2162,4660,2482,2146,4628
2023,Westerhüsen,1707,1662,3369,1692,1654,3346
2023,Brückfeld,1662,1797,3459,1623,1768,3391
2023,Berliner Chaussee,1243,1241,2484,1238,1227,2465
2023,Cracau,4014,4232,8246,3826,4120,7946
2023,Prester,1029,1015,2044,1014,1007,2021
2023,Zipkeleben,152,138,290,152,138,290
2023,Kreuzhorst,0,0,0,0,0,0
2023,Herrenkrug,884,607,1491,850,590,1440
2023,Rothensee,1594,1489,3083,1583,1483,3066
2023,Industriehafen,279,27,306,279,27,306
2023,Gewerbegebiet Nord,12,8,20,12,8,20
2023,Barleber See,41,41,82,41,41,82
2023,Pechau,275,265,540,271,261,532
2023,Randau-Calenberge,286,279,565,281,275,556
2023,Beyendorf-Sohlen,644,621,1265,639,617,1256
2023,Magdeburg,122738,123954,246692,120795,122624,243419
2022,Altstadt,8426,8674,17100,8162,8526,16688
2022,Werder,1555,1550,3105,1499,1525,3024
2022,Alte Neustadt,6437,5678,12115,6238,5580,11818
2022,Neue Neustadt,8242,7684,15926,8142,7618,15760
2022,Neustädter See,5481,5809,11290,5420,5776,11196
2022,Kannenstieg,2892,3216,6108,2873,3204,6077
2022,Neustädter Feld,4811,4946,9757,4766,4913,9679
2022,Sülzegrund,5,5,10,5,5,10
2022,Großer Silberberg,0,0,0,0,0,0
2022,Nordwest,2198,2338,4536,2174,2325,4499
2022,Alt Olvenstedt,1954,1990,3944,1931,1967,3898
2022,Neu Olvenstedt,5871,5986,11857,5830,5952,11782
2022,Stadtfeld Ost,12569,13197,25766,12300,13007,25307
2022,Stadtfeld West,6950,7779,14729,6877,7720,14597
2022,Diesdorf,1972,1960,3932,1956,1944,3900
2022,Sudenburg,9295,9338,18633,9159,9230,18389
2022,Ottersleben,5168,5402,10570,5105,5350,10455
2022,Lemsdorf,1112,1110,2222,1097,1094,2191
2022,Leipziger Straße,7891,8323,16214,7770,8217,15987
2022,Reform,5529,6427,11956,5480,6376,11856
2022,Hopfengarten,2282,2228,4510,2252,2194,4446
2022,Beyendorfer Grund,10,3,13,10,3,13
2022,Buckau,3307,3281,6588,3243,3239,6482
2022,Fermersleben,1897,1749,3646,1877,1734,3611
2022,Salbke,2373,2190,4563,2356,2177,4533
2022,Westerhüsen,1701,1696,3397,1688,1686,3374
2022,Brückfeld,1708,1806,3514,1676,1775,3451
2022,Berliner Chaussee,1196,1208,2404,1190,1194,2384
2022,Cracau,4093,4306,8399,3876,4186,8062
2022,Prester,1062,1031,2093,1045,1022,2067
2022,Zipkeleben,147,132,279,147,132,279
2022,Kreuzhorst,0,0,0,0,0,0
2022,Herrenkrug,798,602,1400,761,581,1342
2022,Rothensee,1560,1435,2995,1547,1426,2973
2022,Industriehafen,167,25,192,167,25,192
2022,Gewerbegebiet Nord,11,8,19,11,8,19
2022,Barleber See,40,42,82,40,42,82
2022,Pechau,272,256,528,269,252,521
2022,Randau-Calenberge,286,278,564,282,271,553
2022,Beyendorf-Sohlen,646,619,1265,641,615,1256
2022,Magdeburg,121914,124307,246221,119862,122891,242753
2021,Altstadt,8365,8538,16903,8081,8372,16453
2021,Werder,1598,1575,3173,1538,1549,3087
2021,Alte Neustadt,6442,5625,12067,6228,5514,11742
2021,Neue Neustadt,8168,7456,15624,8065,7391,15456
2021,Neustädter See,5431,5693,11124,5374,5649,11023
2021,Kannenstieg,2858,3170,6028,2839,3159,5998
2021,Neustädter Feld,4757,4798,9555,4715,4763,9478
2021,Sülzegrund,5,5,10,5,5,10
2021,Großer Silberberg,0,0,0,0,0,0
2021,Nordwest,2274,2364,4638,2247,2350,4597
2021,Alt Olvenstedt,1974,1975,3949,1950,1954,3904
2021,Neu Olvenstedt,5740,5813,11553,5693,5778,11471
2021,Stadtfeld Ost,12573,13086,25659,12308,12898,25206
2021,Stadtfeld West,6925,7737,14662,6852,7670,14522
2021,Diesdorf,1989,1953,3942,1972,1939,3911
2021,Sudenburg,9209,9129,18338,9058,9018,18076
2021,Ottersleben,5139,5337,10476,5075,5280,10355
2021,Lemsdorf,1095,1111,2206,1083,1097,2180
2021,Leipziger Straße,7705,8087,15792,7583,7972,15555
2021,Reform,5471,6355,11826,5423,6302,11725
2021,Hopfengarten,2296,2221,4517,2260,2185,4445
2021,Beyendorfer Grund,14,6,20,14,6,20
2021,Buckau,3267,3102,6369,3201,3063,6264
2021,Fermersleben,1894,1704,3598,1879,1690,3569
2021,Salbke,2382,2199,4581,2362,2186,4548
2021,Westerhüsen,1679,1669,3348,1665,1658,3323
2021,Brückfeld,1709,1772,3481,1674,1739,3413
2021,Berliner Chaussee,1176,1181,2357,1169,1167,2336
2021,Cracau,4105,4306,8411,3912,4177,8089
2021,Prester,1044,1023,2067,1025,1014,2039
2021,Zipkeleben,141,128,269,141,128,269
2021,Kreuzhorst,0,0,0,0,0,0
2021,Herrenkrug,778,624,1402,746,605,1351
2021,Rothensee,1547,1431,2978,1534,1420,2954
2021,Industriehafen,148,22,170,148,22,170
2021,Gewerbegebiet Nord,10,7,17,10,7,17
2021,Barleber See,37,41,78,37,41,78
2021,Pechau,269,258,527,266,251,517
2021,Randau-Calenberge,290,281,571,285,272,557
2021,Beyendorf-Sohlen,654,619,1273,648,614,1262
2021,Magdeburg,121158,122401,243559,119065,120905,239970
