Jahr,Stadtteil,Wohnberechtigte Bevölkerung (ausländisch) (männlich),Wohnberechtigte Bevölkerung (ausländisch) (weiblich),Wohnberechtigte Bevölkerung (ausländisch) (gesamt),Ausländische Bevölkerung am Ort der Hauptwohnung (männlich),Ausländische Bevölkerung am Ort der Hauptwohnung (weiblich),Ausländische Bevölkerung am Ort der Hauptwohnung (gesamt)
2022,Werder,93,82,175,92,82,174
2022,Alte Neustadt,1841,1239,3080,1821,1227,3048
2022,Neue Neustadt,2227,1735,3962,2216,1732,3948
2022,Neustädter See,1152,928,2080,1145,927,2072
2022,Kannenstieg,702,606,1308,702,606,1308
2022,Neustädter Feld,544,539,1083,541,538,1079
2022,Sülzegrund,0,0,0,0,0,0
2022,Großer Silberberg,0,0,0,0,0,0
2022,Nordwest,33,35,68,33,35,68
2022,Alt Olvenstedt,32,52,84,32,52,84
2022,Neu Olvenstedt,836,708,1544,834,707,1541
2022,Stadtfeld Ost,1093,1055,2148,1081,1048,2129
2022,Stadtfeld West,261,311,572,258,307,565
2022,Diesdorf,30,27,57,30,27,57
2022,Sudenburg,1677,1432,3109,1670,1429,3099
2022,Ottersleben,97,111,208,97,111,208
2022,Lemsdorf,72,61,133,70,61,131
2022,Leipziger Straße,2062,1775,3837,2053,1762,3815
2022,Reform,608,565,1173,607,563,1170
2022,Hopfengarten,43,66,109,43,66,109
2022,Beyendorfer Grund,.,0,.,.,0,.
2022,Buckau,313,331,644,313,330,643
2022,Fermersleben,322,234,556,321,232,553
2022,Salbke,322,226,548,322,226,548
2022,Westerhüsen,97,114,211,97,114,211
2022,Brückfeld,149,160,309,149,159,308
2022,Berliner Chaussee,14,15,29,14,15,29
2022,Cracau,229,255,484,227,253,480
2022,Prester,.,.,13,.,.,13
2022,Zipkeleben,.,.,8,.,.,8
2022,Kreuzhorst,0,0,0,0,0,0
2022,Herrenkrug,252,90,342,250,89,339
2022,Rothensee,126,86,212,126,86,212
2022,Industriehafen,145,0,145,145,0,145
2022,Gewerbegebiet Nord,.,0,.,.,0,.
2022,Barleber See,.,.,.,.,.,.
2022,Pechau,.,.,.,.,.,.
2022,Randau-Calenberge,0,.,.,0,.,.
2022,Beyendorf-Sohlen,6,7,13,6,7,13
2022,Magdeburg,17440,14506,31946,17339,14440,31779
2021,Altstadt,1805,1368,3173,1785,1357,3142
2021,Werder,61,70,131,60,70,130
2021,Alte Neustadt,1790,1144,2934,1775,1130,2905
2021,Neue Neustadt,2007,1379,3386,2000,1376,3376
2021,Neustädter See,1020,703,1723,1017,701,1718
2021,Kannenstieg,614,514,1128,614,514,1128
2021,Neustädter Feld,437,362,799,435,362,797
2021,Sülzegrund,0,0,0,0,0,0
2021,Großer Silberberg,0,0,0,0,0,0
2021,Nordwest,39,25,64,39,25,64
2021,Alt Olvenstedt,26,30,56,26,30,56
2021,Neu Olvenstedt,687,493,1180,685,491,1176
2021,Stadtfeld Ost,902,731,1633,895,722,1617
2021,Stadtfeld West,179,204,383,178,201,379
2021,Diesdorf,37,19,56,37,19,56
2021,Sudenburg,1427,1100,2527,1419,1096,2515
2021,Ottersleben,67,81,148,67,81,148
2021,Lemsdorf,55,40,95,54,40,94
2021,Leipziger Straße,1770,1363,3133,1763,1353,3116
2021,Reform,453,383,836,451,379,830
2021,Hopfengarten,26,38,64,25,38,63
2021,Beyendorfer Grund,.,.,7,.,.,7
2021,Buckau,311,220,531,311,220,531
2021,Fermersleben,295,196,491,295,196,491
2021,Salbke,331,209,540,331,209,540
2021,Westerhüsen,79,70,149,78,70,148
2021,Brückfeld,134,110,244,134,110,244
2021,Berliner Chaussee,11,11,22,11,11,22
2021,Cracau,166,162,328,162,161,323
2021,Prester,.,.,10,.,.,10
2021,Zipkeleben,0,.,.,0,.,.
2021,Kreuzhorst,0,0,0,0,0,0
2021,Herrenkrug,224,97,321,223,96,319
2021,Rothensee,117,79,196,117,79,196
2021,Industriehafen,128,0,128,128,0,128
2021,Gewerbegebiet Nord,.,0,.,.,0,.
2021,Barleber See,0,0,0,0,0,0
2021,Pechau,.,.,.,.,.,.
2021,Randau-Calenberge,.,.,4,.,.,4
2021,Beyendorf-Sohlen,.,.,10,.,.,10
2021,Magdeburg,15220,11217,26437,15137,11153,26290
