Jahr,Stadtteil,ledig,verheiratet,verwitwet,geschieden,unbekannt,gesamt
2023,Zipkeleben,151,121,.,12,.,290
2023,Kreuzhorst,0,0,0,0,0,0
2023,Herrenkrug,604,380,63,107,286,1440
2023,Rothensee,1453,1160,176,239,38,3066
2023,Industriehafen,82,16,0,7,201,306
2023,Gewerbegebiet Nord,10,6,.,.,0,20
2023,Barleber See,33,42,.,.,0,82
2023,Pechau,176,311,17,28,0,532
2023,Randau-Calenberge,204,276,35,41,0,556
2023,Beyendorf-Sohlen,477,610,77,88,4,1256
2023,Magdeburg,112144,85248,18269,19909,7849,243419
2022,Altstadt,8363,4891,1674,1310,450,16688
2022,Werder,1290,1192,272,249,21,3024
2022,Alte Neustadt,6912,3189,633,700,384,11818
2022,Neue Neustadt,7866,4775,1116,1378,625,15760
2022,Neustädter See,4592,3842,1226,1186,350,11196
2022,Kannenstieg,2373,2298,668,559,179,6077
2022,Neustädter Feld,4034,3683,779,987,196,9679
2022,Sülzegrund,.,.,0,0,0,10
2022,Großer Silberberg,0,0,0,0,0,0
2022,Nordwest,1490,2385,294,320,10,4499
2022,Alt Olvenstedt,1320,2101,226,229,22,3898
2022,Neu Olvenstedt,5534,3827,929,1197,295,11782
2022,Stadtfeld Ost,14333,7233,1552,1930,259,25307
2022,Stadtfeld West,6023,5806,1296,1366,106,14597
2022,Diesdorf,1459,2015,188,230,8,3900
2022,Sudenburg,9760,5294,1316,1513,506,18389
2022,Ottersleben,3839,5267,687,629,33,10455
2022,Lemsdorf,967,781,180,241,22,2191
2022,Leipziger Straße,8232,4651,1170,1280,654,15987
2022,Reform,4055,5184,1359,1047,211,11856
2022,Hopfengarten,1592,2240,256,334,24,4446
2022,Beyendorfer Grund,7,.,0,.,0,13
2022,Buckau,3754,1798,301,506,123,6482
2022,Fermersleben,1942,980,219,365,105,3611
2022,Salbke,1887,1866,307,352,121,4533
2022,Westerhüsen,1368,1489,231,244,42,3374
2022,Brückfeld,1672,1194,249,292,44,3451
2022,Berliner Chaussee,832,1243,152,153,4,2384
2022,Cracau,3771,2802,615,802,72,8062
2022,Prester,704,1126,122,113,.,2067
2022,Zipkeleben,147,114,5,11,.,279
2022,Kreuzhorst,0,0,0,0,0,0
2022,Herrenkrug,650,423,63,97,109,1342
2022,Rothensee,1389,1126,182,236,40,2973
2022,Industriehafen,101,11,.,.,71,192
2022,Gewerbegebiet Nord,10,6,.,.,0,19
2022,Barleber See,35,40,.,.,0,82
2022,Pechau,168,308,16,29,0,521
2022,Randau-Calenberge,201,269,37,44,.,553
2022,Beyendorf-Sohlen,480,602,81,88,5,1256
2022,Magdeburg,113154,86061,18410,20031,5097,242753
2021,Altstadt,8235,4972,1679,1303,264,16453
2021,Werder,1329,1215,288,247,8,3087
2021,Alte Neustadt,6964,3186,644,723,225,11742
2021,Neue Neustadt,7753,4779,1114,1396,414,15456
2021,Neustädter See,4471,3915,1254,1195,188,11023
2021,Kannenstieg,2287,2314,675,576,146,5998
2021,Neustädter Feld,3936,3676,775,995,96,9478
2021,Sülzegrund,.,.,0,0,0,10
2021,Großer Silberberg,0,0,0,0,0,0
2021,Nordwest,1540,2424,295,333,5,4597
2021,Alt Olvenstedt,1321,2119,225,230,9,3904
2021,Neu Olvenstedt,5379,3789,925,1207,171,11471
2021,Stadtfeld Ost,14240,7350,1584,1923,109,25206
2021,Stadtfeld West,5913,5887,1308,1374,40,14522
2021,Diesdorf,1481,1998,200,224,8,3911
2021,Sudenburg,9614,5319,1327,1519,297,18076
2021,Ottersleben,3779,5260,675,628,13,10355
2021,Lemsdorf,947,797,183,246,7,2180
2021,Leipziger Straße,7871,4709,1214,1313,448,15555
2021,Reform,3902,5306,1344,1062,111,11725
2021,Hopfengarten,1588,2250,267,337,.,4445
2021,Beyendorfer Grund,.,.,0,.,0,20
2021,Buckau,3663,1751,302,492,56,6264
2021,Fermersleben,1906,990,224,387,62,3569
2021,Salbke,1918,1886,294,359,91,4548
2021,Westerhüsen,1341,1481,243,244,14,3323
2021,Brückfeld,1630,1231,250,279,23,3413
2021,Berliner Chaussee,798,1238,154,145,.,2336
2021,Cracau,3811,2830,632,798,18,8089
2021,Prester,690,1114,120,115,0,2039
2021,Zipkeleben,149,105,5,10,0,269
2021,Kreuzhorst,0,0,0,0,0,0
2021,Herrenkrug,661,427,67,100,96,1351
2021,Rothensee,1378,1136,180,230,30,2954
2021,Industriehafen,115,15,.,.,32,170
2021,Gewerbegebiet Nord,10,4,.,.,0,17
2021,Barleber See,30,42,.,.,0,78
2021,Pechau,161,310,19,27,0,517
2021,Randau-Calenberge,196,280,37,42,.,557
2021,Beyendorf-Sohlen,468,624,77,90,.,1262
2021,Magdeburg,111490,86739,18588,20163,2990,239970
